,Cidade,codigo_ibge,latitude,longitude,capital,codigo_uf,Regiao
0,Adamantina,3500105,-21.682,-51.0737,0,35,Presidente Prudente
1,Adolfo,3500204,-21.2325,-49.6451,0,35,São José do Rio Preto
2,Aguaí,3500303,-22.0572,-46.9735,0,35,Piracicaba
3,Águas da Prata,3500402,-21.9319,-46.7176,0,35,Piracicaba
4,Águas de Lindóia,3500501,-22.4733,-46.6314,0,35,Campinas
5,Águas de Santa Bárbara,3500550,-22.8812,-49.2421,0,35,Sorocaba
6,Águas de São Pedro,3500600,-22.5977,-47.8734,0,35,Piracicaba
7,Agudos,3500709,-22.4694,-48.9863,0,35,Bauru
8,Alambari,3500758,-23.5503,-47.898,0,35,Sorocaba
9,Alfredo Marcondes,3500808,-21.9527,-51.413999999999994,0,35,Presidente Prudente
10,Altair,3500907,-20.5242,-49.0571,0,35,Ribeirão Preto
11,Altinópolis,3501004,-21.0214,-47.3712,0,35,Ribeirão Preto
12,Alto Alegre,3501103,-21.5811,-50.168,0,35,Araçatuba
13,Alumínio,3501152,-23.5306,-47.2546,0,35,Sorocaba
14,Álvares Florence,3501202,-20.3203,-49.9141,0,35,São José do Rio Preto
15,Álvares Machado,3501301,-22.0764,-51.4722,0,35,Presidente Prudente
16,Álvaro de Carvalho,3501400,-22.0841,-49.718999999999994,0,35,Bauru
17,Alvinlândia,3501509,-22.4435,-49.7623,0,35,Bauru
18,Americana,3501608,-22.7374,-47.3331,0,35,Piracicaba
19,Américo Brasiliense,3501707,-21.7288,-48.1147,0,35,Ribeirão Preto
20,Américo de Campos,3501806,-20.2985,-49.7359,0,35,São José do Rio Preto
21,Amparo,3501905,-22.7088,-46.772,0,35,Campinas
22,Analândia,3502002,-22.1289,-47.6619,0,35,Piracicaba
23,Andradina,3502101,-20.8948,-51.3786,0,35,Araçatuba
24,Angatuba,3502200,-23.4917,-48.4139,0,35,Sorocaba
25,Anhembi,3502309,-22.793000000000003,-48.1336,0,35,Sorocaba
26,Anhumas,3502408,-22.2934,-51.3895,0,35,Presidente Prudente
27,Aparecida,3502507,-22.8495,-45.2325,0,35,São José dos Campos
28,Aparecida d'Oeste,3502606,-20.4487,-50.8835,0,35,São José do Rio Preto
29,Apiaí,3502705,-24.5108,-48.8443,0,35,Sorocaba
30,Araçariguama,3502754,-23.4366,-47.0608,0,35,Sorocaba
31,Araçatuba,3502804,-21.2076,-50.4401,0,35,Araçatuba
32,Araçoiaba da Serra,3502903,-23.5029,-47.6166,0,35,Sorocaba
33,Aramina,3503000,-20.0882,-47.7873,0,35,Ribeirão Preto
34,Arandu,3503109,-23.1386,-49.0487,0,35,Sorocaba
35,Arapeí,3503158,-22.6717,-44.4441,0,35,São José dos Campos
36,Araraquara,3503208,-21.7845,-48.178000000000004,0,35,Ribeirão Preto
37,Araras,3503307,-22.3572,-47.3842,0,35,Piracicaba
38,Arco-Íris,3503356,-21.7728,-50.466,0,35,Bauru
39,Arealva,3503406,-22.031,-48.9135,0,35,Bauru
40,Areias,3503505,-22.5786,-44.6992,0,35,São José dos Campos
41,Areiópolis,3503604,-22.6672,-48.6681,0,35,Sorocaba
42,Ariranha,3503703,-21.1872,-48.7904,0,35,São José do Rio Preto
43,Artur Nogueira,3503802,-22.5727,-47.1727,0,35,Piracicaba
44,Arujá,3503901,-23.3965,-46.32,0,35,Grande São Paulo (exclui a Capital)
45,Aspásia,3503950,-20.16,-50.728,0,35,São José do Rio Preto
46,Assis,3504008,-22.66,-50.4183,0,35,Presidente Prudente
47,Atibaia,3504107,-23.1171,-46.5563,0,35,Campinas
48,Auriflama,3504206,-20.6836,-50.5572,0,35,Araçatuba
49,Avaí,3504305,-22.1514,-49.3356,0,35,Bauru
50,Avanhandava,3504404,-21.4584,-49.9509,0,35,Araçatuba
