Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
HOMICÍDIO DOLOSO (2),67.0,57.0,62.0,...,...,...,...,...,...,...,...,...,186.0,2020,São Paulo,Capital
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),71.0,61.0,66.0,...,...,...,...,...,...,...,...,...,198.0,2020,São Paulo,Capital
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,4.0,1.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2020,São Paulo,Capital
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,4.0,1.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2020,São Paulo,Capital
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,25.0,21.0,39.0,...,...,...,...,...,...,...,...,...,85.0,2020,São Paulo,Capital
HOMICÍDIO CULPOSO OUTROS,1.0,2.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2020,São Paulo,Capital
TENTATIVA DE HOMICÍDIO,67.0,48.0,46.0,...,...,...,...,...,...,...,...,...,161.0,2020,São Paulo,Capital
LESÃO CORPORAL SEGUIDA DE MORTE,4.0,6.0,3.0,...,...,...,...,...,...,...,...,...,13.0,2020,São Paulo,Capital
LESÃO CORPORAL DOLOSA,2.406,2.4130000000000003,2.185,...,...,...,...,...,...,...,...,...,7.004,2020,São Paulo,Capital
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,950.0,900.0,813.0,...,...,...,...,...,...,...,...,...,2.6630000000000003,2020,São Paulo,Capital
LESÃO CORPORAL CULPOSA - OUTRAS,128.0,98.0,84.0,...,...,...,...,...,...,...,...,...,310.0,2020,São Paulo,Capital
LATROCÍNIO,8.0,7.0,4.0,...,...,...,...,...,...,...,...,...,19.0,2020,São Paulo,Capital
Nº DE VÍTIMAS EM LATROCÍNIO,8.0,7.0,4.0,...,...,...,...,...,...,...,...,...,19.0,2020,São Paulo,Capital
TOTAL DE ESTUPRO (4),238.0,205.0,219.0,...,...,...,...,...,...,...,...,...,662.0,2020,São Paulo,Capital
ESTUPRO,68.0,53.0,72.0,...,...,...,...,...,...,...,...,...,193.0,2020,São Paulo,Capital
ESTUPRO DE VULNERÁVEL,170.0,152.0,147.0,...,...,...,...,...,...,...,...,...,469.0,2020,São Paulo,Capital
TOTAL DE ROUBO - OUTROS (1),13.535,14.503,12.092,...,...,...,...,...,...,...,...,...,40.13,2020,São Paulo,Capital
ROUBO - OUTROS,13.199000000000002,14.229000000000001,11.798,...,...,...,...,...,...,...,...,...,39.226,2020,São Paulo,Capital
ROUBO DE VEÍCULO,1.643,1.5219999999999998,1.412,...,...,...,...,...,...,...,...,...,4.577,2020,São Paulo,Capital
ROUBO A BANCO,0.0,5.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2020,São Paulo,Capital
ROUBO DE CARGA,336.0,269.0,291.0,...,...,...,...,...,...,...,...,...,896.0,2020,São Paulo,Capital
FURTO - OUTROS,18.593,25.063000000000002,14.675,...,...,...,...,...,...,...,...,...,58.331,2020,São Paulo,Capital
FURTO DE VEÍCULO,2.965,2.55,2.397,...,...,...,...,...,...,...,...,...,7.912000000000001,2020,São Paulo,Capital
HOMICÍDIO DOLOSO (2),1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Arujá,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Arujá,Grande São Paulo (exclui a Capital)
