Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,102.0,111.0,114.0,...,...,...,...,...,...,...,...,...,327.0,2020,São Paulo,Capital
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,573.0,562.0,498.0,...,...,...,...,...,...,...,...,...,1.633,2020,São Paulo,Capital
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),38.0,34.0,37.0,...,...,...,...,...,...,...,...,...,109.0,2020,São Paulo,Capital
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,100.0,82.0,83.0,...,...,...,...,...,...,...,...,...,265.0,2020,São Paulo,Capital
Nº DE ARMAS DE FOGO APREENDIDAS,223.0,264.0,265.0,...,...,...,...,...,...,...,...,...,752.0,2020,São Paulo,Capital
Nº DE FLAGRANTES LAVRADOS,2.0469999999999997,2.2119999999999997,2.102,...,...,...,...,...,...,...,...,...,6.361000000000001,2020,São Paulo,Capital
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,276.0,272.0,243.0,...,...,...,...,...,...,...,...,...,791.0,2020,São Paulo,Capital
Nº DE INFRATORES APREENDIDOS POR MANDADO,12.0,19.0,28.0,...,...,...,...,...,...,...,...,...,59.0,2020,São Paulo,Capital
Nº DE PESSOAS PRESAS EM FLAGRANTE,2.412,2.555,2.481,...,...,...,...,...,...,...,...,...,7.4479999999999995,2020,São Paulo,Capital
Nº DE PESSOAS PRESAS POR MANDADO,992.0,944.0,868.0,...,...,...,...,...,...,...,...,...,2.804,2020,São Paulo,Capital
Nº DE PRISÕES EFETUADAS,2.454,2.491,2.488,...,...,...,...,...,...,...,...,...,7.433,2020,São Paulo,Capital
Nº DE VEÍCULOS RECUPERADOS,1.919,1.729,1.625,...,...,...,...,...,...,...,...,...,5.273,2020,São Paulo,Capital
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,7.306,6.638999999999999,6.445,...,...,...,...,...,...,...,...,...,20.39,2020,São Paulo,Capital
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,2.0,1.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2020,Arujá,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,6.0,6.0,3.0,...,...,...,...,...,...,...,...,...,15.0,2020,Arujá,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),1.0,2.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2020,Arujá,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,2.0,5.0,0.0,...,...,...,...,...,...,...,...,...,7.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,16.0,15.0,11.0,...,...,...,...,...,...,...,...,...,42.0,2020,Arujá,Grande São Paulo (exclui a Capital)
