Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
2019,"5,47","1.907,04","1.187,94","492,91","436,47","248,21","684,68",São Paulo,Capital
None,None,None,None,None,None,None,None,Arujá,Grande São Paulo (exclui a Capital)
2019,"4,53","850,76","372,59","213,07","236,16","71,99","308,15",Barueri,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Biritiba Mirim,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Caieiras,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Cajamar,Grande São Paulo (exclui a Capital)
2019,"7,38","572,54","839,97","358,54","453,22","245,46","698,68",Carapicuíba,Grande São Paulo (exclui a Capital)
2019,"5,72","732,31","516,66","298,97","230,84","263,24","494,08",Cotia,Grande São Paulo (exclui a Capital)
2019,"5,66","907,46","1.474,87","658,45","403,41","827,51","1.230,92",Diadema,Grande São Paulo (exclui a Capital)
2019,"7,81","409,34","592,43","148,11","161,31","173,07","334,37",Embu das Artes,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Embu Guaçú,Grande São Paulo (exclui a Capital)
2019,"7,86","660,23","876,12","442,25","518,21","648,10","1.166,31",Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
2019,"8,70","609,32","463,08","96,91","173,04","151,65","324,69",Francisco Morato,Grande São Paulo (exclui a Capital)
2019,"7,94","452,48","380,38","134,95","187,59","160,30","347,89",Franco da Rocha,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Guararema,Grande São Paulo (exclui a Capital)
2019,"4,98","853,70","471,37","312,17","355,28","241,35","596,62",Guarulhos,Grande São Paulo (exclui a Capital)
2019,"8,85","600,42","648,78","244,18","211,67","309,94","521,61",Itapecerica da Serra,Grande São Paulo (exclui a Capital)
2019,"11,97","569,66","407,27","181,20","272,98","146,38","419,36",Itapevi,Grande São Paulo (exclui a Capital)
2019,"5,20","696,07","807,56","406,24","541,83","606,07","1.147,90",Itaquaquecetuba,Grande São Paulo (exclui a Capital)
