Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
"1999,""52,58"",""1.085,19"",""1.068,39"",""1.108,17"",-,-,-,São Paulo,Capital"
"2000,""51,23"",""1.034,32"",""1.046,44"",""1.175,01"",-,-,-,São Paulo,Capital"
"2001,""49,16"",""1.099,04"",""1.066,06"",""1.032,52"",""1.423,03"",""1.275,53"",""2.698,56"",São Paulo,Capital"
"2002,""43,63"",""1.190,92"",""1.137,27"",""907,16"",""1.249,70"",""1.035,15"",""2.284,84"",São Paulo,Capital"
"2003,""39,97"",""1.333,79"",""1.237,66"",""868,17"",""1.158,55"",""946,79"",""2.105,34"",São Paulo,Capital"
"2004,""31,24"",""1.540,44"",""1.059,15"",""953,66"",""1.195,91"",""1.000,72"",""2.196,62"",São Paulo,Capital"
"2005,""22,71"",""1.620,89"",""1.021,99"",""936,20"",""1.212,41"",""928,18"",""2.140,59"",São Paulo,Capital"
"2006,""18,10"",""1.573,05"",""967,53"",""827,62"",""1.048,65"",""749,53"",""1.798,18"",São Paulo,Capital"
"2007,""13,96"",""1.345,84"",""988,26"",""712,17"",""812,66"",""630,80"",""1.443,45"",São Paulo,Capital"
"2008,""11,38"",""1.393,03"",""988,28"",""672,60"",""737,59"",""537,01"",""1.274,60"",São Paulo,Capital"
"2009,""11,08"",""1.581,67"",""1.105,83"",""708,42"",""700,34"",""581,84"",""1.282,18"",São Paulo,Capital"
"2010,""10,63"",""1.522,97"",""986,21"",""692,29"",""672,09"",""546,28"",""1.218,37"",São Paulo,Capital"
"2011,""9,01"",""1.752,53"",""969,82"",""736,32"",""645,97"",""611,82"",""1.257,79"",São Paulo,Capital"
"2012,""12,02"",""1.752,58"",""993,43"",""764,08"",""631,69"",""647,81"",""1.279,50"",São Paulo,Capital"
"2013,""10,27"",""1.758,69"",""1.105,39"",""866,57"",""691,49"",""723,39"",""1.414,88"",São Paulo,Capital"
"2014,""9,83"",""1.656,42"",""1.391,46"",""860,24"",""702,65"",""697,58"",""1.400,23"",São Paulo,Capital"
"2015,""8,56"",""1.524,63"",""1.335,77"",""708,05"",""576,85"",""503,56"",""1.080,41"",São Paulo,Capital"
"2016,""7,25"",""1.575,33"",""1.370,91"",""711,67"",""572,29"",""488,94"",""1.061,23"",São Paulo,Capital"
"2017,""6,10"",""1.655,99"",""1.304,76"",""641,08"",""529,90"",""403,95"",""933,85"",São Paulo,Capital"
"2018,""5,69"",""1.709,09"",""1.156,82"",""569,60"",""488,84"",""325,05"",""813,89"",São Paulo,Capital"
None,None,None,None,None,None,None,None,Arujá,Grande São Paulo (exclui a Capital)
"1999,""60,77"",""671,55"",""646,23"",""609,26"",-,-,-,Barueri,Grande São Paulo (exclui a Capital)"
"2000,""47,80"",""668,68"",""456,25"",""449,97"",-,-,-,Barueri,Grande São Paulo (exclui a Capital)"
"2001,""44,05"",""755,06"",""455,69"",""421,11"",""1.056,50"",""699,07"",""1.755,56"",Barueri,Grande São Paulo (exclui a Capital)"
"2002,""39,62"",""752,23"",""417,13"",""422,72"",""1.109,10"",""534,61"",""1.643,71"",Barueri,Grande São Paulo (exclui a Capital)"
"2003,""47,27"",""908,69"",""557,60"",""444,71"",""1.166,42"",""466,90"",""1.633,32"",Barueri,Grande São Paulo (exclui a Capital)"
"2004,""27,12"",""843,44"",""388,72"",""403,19"",""1.059,57"",""326,26"",""1.385,83"",Barueri,Grande São Paulo (exclui a Capital)"
"2005,""22,26"",""870,37"",""470,58"",""451,44"",""991,25"",""465,46"",""1.456,71"",Barueri,Grande São Paulo (exclui a Capital)"
"2006,""10,97"",""924,47"",""415,95"",""425,60"",""963,59"",""301,20"",""1.264,80"",Barueri,Grande São Paulo (exclui a Capital)"
"2007,""9,52"",""869,66"",""452,36"",""324,23"",""602,60"",""268,73"",""871,33"",Barueri,Grande São Paulo (exclui a Capital)"
"2008,""10,26"",""756,67"",""378,34"",""268,04"",""436,20"",""216,54"",""652,74"",Barueri,Grande São Paulo (exclui a Capital)"
"2009,""10,13"",""952,41"",""516,08"",""386,96"",""648,55"",""219,65"",""868,20"",Barueri,Grande São Paulo (exclui a Capital)"
"2010,""5,82"",""867,92"",""402,56"",""224,99"",""318,29"",""139,67"",""457,96"",Barueri,Grande São Paulo (exclui a Capital)"
"2011,""9,88"",""728,62"",""353,61"",""187,71"",""244,53"",""103,93"",""348,46"",Barueri,Grande São Paulo (exclui a Capital)"
"2012,""15,89"",""1.216,71"",""362,24"",""242,44"",""306,99"",""114,86"",""421,85"",Barueri,Grande São Paulo (exclui a Capital)"
"2013,""9,28"",""1.051,89"",""439,23"",""401,72"",""518,36"",""145,25"",""663,61"",Barueri,Grande São Paulo (exclui a Capital)"
"2014,""9,58"",""1.011,27"",""600,85"",""477,09"",""542,72"",""243,40"",""786,12"",Barueri,Grande São Paulo (exclui a Capital)"
"2015,""7,11"",""904,58"",""534,68"",""320,89"",""319,52"",""181,35"",""500,87"",Barueri,Grande São Paulo (exclui a Capital)"
"2016,""8,62"",""1.069,43"",""572,32"",""308,69"",""306,77"",""169,09"",""475,85"",Barueri,Grande São Paulo (exclui a Capital)"
"2017,""10,87"",""770,41"",""448,50"",""200,76"",""214,58"",""90,20"",""304,78"",Barueri,Grande São Paulo (exclui a Capital)"
"2018,""3,81"",""773,67"",""378,25"",""246,32"",""270,77"",""98,25"",""369,02"",Barueri,Grande São Paulo (exclui a Capital)"
None,None,None,None,None,None,None,None,Biritiba Mirim,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Caieiras,Grande São Paulo (exclui a Capital)
None,None,None,None,None,None,None,None,Cajamar,Grande São Paulo (exclui a Capital)
"1999,""46,13"",""519,91"",""643,41"",""403,55"",-,-,-,Carapicuíba,Grande São Paulo (exclui a Capital)"
"2000,""49,56"",""453,88"",""450,67"",""348,64"",-,-,-,Carapicuíba,Grande São Paulo (exclui a Capital)"
